product_name,product_price,product_discount_price,voucher_amount,availability
TP-Link AC1200 Whole Home Mesh Wi-Fi System Deco M4 V1 (2-pack),299.00,,0,False
Boomwave Backpack Light Series - Dark Blue,132.00,,0,False
Boomwave Vertikel Sleeve 12-13-inch,,,0,False
Boomwave Vertikel Sleeve 14-inch,,,0,False
Mi 34-Inch Curved Gaming Monitor XMI-GMONITOR34,"2,199.00",,0,False
HP Laptop 14s-cf2040TX 14 Inch (Intel Core i5 - 10210U/8GB RAM/512GB SSD/AMD Radeon 530),,,0,False
ASUS ROG Ally RC71L (2023) (AMD Ryzen™ Z1 Extreme | 16GB+512GB | AMD Radeon™ Graphics),"3,299.00",,0,False
HP Pavilion Laptop 15-eg3052TU (15.6-inch / Intel® Core™ i5-1335U / 8GB+512GB / Intel® Iris® Xᵉ Graphics),"3,099.00",,0,False
Acer Nitro 5 AN515-58-51AB (Intel i5-12450H - NVIDIA GeForce RTX3050 - 8GB +512GB),"3,399.00",,0,False
HP Laptop 15-FD0058TU (15.6-inch / Intel i5-1335U / 8GB+512GB /Intel® Iris® Xᵉ Graphics),"2,899.00",,0,False
HONOR MagicBook 14-inch AMD Ryzen 5 5500U/ 8GB RAM + 512GB SSD / AMD Radeon Graphics ,"2,299.00",,15,False
HP Laptop 15S-FQ5115TU (15.6-inch / Intel i5-1235U / 8GB+512GB / Intel® Iris® Xe Graphics),"2,799.00",,0,False
Acer Swift 3 SF314-44-R5LV,"2,999.00",,0,False
MSI MPG Trident AS 12TC-287MY - intel i5-12400F | RTX3060 | 12GB+512GB (Free MSI Vigor GK30 Gaming Keyboard+Mouse),"6,399.00",,0,False
HP Laptop 15S-FQ5114TU (Intel® Core™ i7 / 8GB + 512GB / Intel® Iris® Xᵉ Graphics),"3,699.00",,0,False
"Apple MacBook Air (M2, 2022)",,,0,False
Canon PIXMA TR4670S,399.00,,0,False
HP Laptop 14S-FQ1048AU (14-inch / AMD R5-5500U / 8GB+512GB / RADEON INTERGRATED GRAPHICS),"2,649.00",,0,False
Xiaomi Mi Desktop Monitor 27',799.00,,0,False
Logitech MX Keys Advanced Wireless Illuminated Keyboard,489.00,,0,False
Microsoft Surface Slim Pen Charger,159.00,,0,False
MSI Force GC20 V2 Controller,195.00,,0,False
MSI Force GC30 V2 Wireless Controller,259.00,,0,False
MSI AGILITY GD20 Mousepad,70.00,,0,False
MSI AGILITY GD70 Mousepad,149.00,,0,False
MSI Gaming Headset Immerse GH20,189.00,,0,False
Canon PIXMA Printer MG3070S,239.00,,0,False
Canon PIXMA Printer G2010,579.00,,0,False
Acer Nitro 5 AN515-58-777X (Intel® Core™ i7-12650H - 16GB RAM - 512GB SSD - 15.6''FHD (165Hz) - NVIDIA® GeForce RTX™ 4050 6GB),"4,799.00",,0,False
HP VICTUS 15-FB0032AX (AMD Ryzen™ 5 5600H - 8GB RAM - 512GB SSD - NVIDIA® GeForce RTX™ 3050),"3,399.00",,0,False
ASUS VivoBook 15 A1500E-AEJ3584WS (Intel® Core™ i5-1135G7 - 8GB RAM - 256GB SSD - 15.6' FHD),"2,249.00",,15,False
Acer Aspire 3 A315-59-57WY (Intel® Core™ i5-1235U | 8GB+512GB | Intel®️ UHD Graphics),"2,299.00",,0,False
HP Victus 15-FB1013AX (15.6' FHD 144Hz Gaming Laptop Mica Silver - AMD Ryzen™ 5 7535HS - 8GB RAM - 512GB SSD - NVIDIA® GeForce RTX™ RTX2050 4GB),"3,049.00",,0,False
HP Pavillion Aero 13-BE2025AU (13.3' WUXGA Display Laptop Rose Gold - AMD Ryzen™ 5 7535U - 16GB RAM - 512GB SSD - AMD Radeon Integrated Graphics),"3,699.00",,0,False
HP Laptop 15-FC0083AU (AMD Ryzen™ 5 7530U|16GB+512GB|AMD Radeon Integrated Graphics | 15.6'),"2,599.00",,0,False
Microsoft Surface Laptop Go 3 (Intel™ i5-1235U | 8GB RAM | 256GB SSD),"4,099.00",,0,False
"Apple MacBook Pro (14-Inch, M3, 2023)",,,0,False
ASUS TUF Gaming F15 FX506H-EHN062W (Intel® Core™ i7-11800H | 8GB+512GB | GeForce RTX3050Ti | 15.6'' 144Hz),"3,699.00",,0,False
Canon PIXMA G3730 AIO Wireless Ink Tank Printer,780.00,,0,False
